Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,12,record,timestamp,"908648180",s,distance,"1.79",m,altitude,"1083.6",m,speed,"1.791",m/s,unknown,"0",,unknown,"300",,heart_rate,"123",bpm,cadence,"60",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"1.791",m/s,
Data,12,record,timestamp,"908648181",s,distance,"1.79",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"122",bpm,cadence,"60",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,12,record,timestamp,"908648182",s,distance,"1.79",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,12,record,timestamp,"908648183",s,distance,"1.79",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"120",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,12,record,timestamp,"908648184",s,distance,"1.79",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"120",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,12,record,timestamp,"908648185",s,distance,"1.79",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,12,record,timestamp,"908648186",s,distance,"1.79",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,12,record,timestamp,"908648187",s,distance,"4.15",m,altitude,"1083.6",m,speed,"2.361",m/s,unknown,"0",,unknown,"300",,heart_rate,"112",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.361",m/s,
Data,12,record,timestamp,"908648188",s,distance,"6.71",m,altitude,"1083.6",m,speed,"2.557",m/s,unknown,"0",,unknown,"300",,heart_rate,"113",bpm,cadence,"85",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.557",m/s,
Data,12,record,timestamp,"908648189",s,distance,"9.35",m,altitude,"1083.6",m,speed,"2.641",m/s,unknown,"0",,unknown,"300",,heart_rate,"114",bpm,cadence,"86",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.641",m/s,
Data,12,record,timestamp,"908648190",s,distance,"12.02",m,altitude,"1083.6",m,speed,"2.669",m/s,unknown,"0",,unknown,"300",,heart_rate,"115",bpm,cadence,"86",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.669",m/s,
Data,12,record,timestamp,"908648191",s,distance,"14.84",m,altitude,"1083.6",m,speed,"2.818",m/s,unknown,"0",,unknown,"300",,heart_rate,"116",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.818",m/s,
Data,12,record,timestamp,"908648192",s,distance,"17.49",m,altitude,"1083.6",m,speed,"2.659",m/s,unknown,"0",,unknown,"300",,heart_rate,"117",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.659",m/s,
Data,12,record,timestamp,"908648193",s,distance,"20.11",m,altitude,"1083.6",m,speed,"2.613",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.613",m/s,
Data,12,record,timestamp,"908648194",s,distance,"22.7",m,altitude,"1083.6",m,speed,"2.594",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.594",m/s,
Data,12,record,timestamp,"908648195",s,distance,"25.33",m,altitude,"1083.6",m,speed,"2.631",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.631",m/s,
Data,12,record,timestamp,"908648196",s,distance,"28.08",m,altitude,"1083.6",m,speed,"2.743",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.743",m/s,
Data,12,record,timestamp,"908648197",s,distance,"30.84",m,altitude,"1083.6",m,speed,"2.762",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"88",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.762",m/s,
Data,12,record,timestamp,"908648198",s,distance,"33.65",m,altitude,"1083.6",m,speed,"2.809",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.809",m/s,
Data,12,record,timestamp,"908648199",s,distance,"36.49",m,altitude,"1083.6",m,speed,"2.846",m/s,unknown,"0",,unknown,"300",,heart_rate,"120",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.846",m/s,
Data,12,record,timestamp,"908648200",s,distance,"39.39",m,altitude,"1083.6",m,speed,"2.902",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.902",m/s,
Data,12,record,timestamp,"908648201",s,distance,"42.35",m,altitude,"1083.6",m,speed,"2.948",m/s,unknown,"0",,unknown,"300",,heart_rate,"120",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.948",m/s,
Data,12,record,timestamp,"908648202",s,distance,"45.33",m,altitude,"1083.6",m,speed,"2.986",m/s,unknown,"0",,unknown,"300",,heart_rate,"122",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.986",m/s,
Data,12,record,timestamp,"908648203",s,distance,"48.28",m,altitude,"1083.6",m,speed,"2.948",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.948",m/s,
Data,12,record,timestamp,"908648204",s,distance,"51.2",m,altitude,"1083.6",m,speed,"2.921",m/s,unknown,"0",,unknown,"300",,heart_rate,"123",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.921",m/s,
Data,12,record,timestamp,"908648205",s,distance,"54.08",m,altitude,"1083.6",m,speed,"2.883",m/s,unknown,"0",,unknown,"300",,heart_rate,"124",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.883",m/s,
Data,12,record,timestamp,"908648206",s,distance,"56.95",m,altitude,"1083.6",m,speed,"2.874",m/s,unknown,"0",,unknown,"300",,heart_rate,"125",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.874",m/s,
Data,12,record,timestamp,"908648207",s,distance,"59.83",m,altitude,"1083.6",m,speed,"2.874",m/s,unknown,"0",,unknown,"300",,heart_rate,"126",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.874",m/s,
Data,12,record,timestamp,"908648208",s,distance,"62.7",m,altitude,"1083.6",m,speed,"2.874",m/s,unknown,"0",,unknown,"300",,heart_rate,"126",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.874",m/s,
Data,12,record,timestamp,"908648209",s,distance,"65.57",m,altitude,"1083.6",m,speed,"2.865",m/s,unknown,"0",,unknown,"300",,heart_rate,"129",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.865",m/s,
Data,12,record,timestamp,"908648210",s,distance,"68.43",m,altitude,"1083.6",m,speed,"2.865",m/s,unknown,"0",,unknown,"300",,heart_rate,"130",bpm,cadence,"89",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.865",m/s,
