Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Data,13,record,timestamp,"908649554",s,position_lat,"609378966",semicircles,position_long,"-1361682802",semicircles,distance,"0.0",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"113",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908649555",s,position_lat,"609379063",semicircles,position_long,"-1361682890",semicircles,distance,"0.95",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"113",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908649556",s,position_lat,"609379179",semicircles,position_long,"-1361683112",semicircles,distance,"2.6",m,altitude,"1083.6",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"112",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908649557",s,position_lat,"609379421",semicircles,position_long,"-1361683414",semicircles,distance,"5.47",m,altitude,"1083.2",m,speed,"0.523",m/s,unknown,"0",,unknown,"300",,heart_rate,"112",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.2",m,enhanced_speed,"0.523",m/s,
Data,13,record,timestamp,"908649558",s,position_lat,"609379598",semicircles,position_long,"-1361683610",semicircles,distance,"7.48",m,altitude,"1083.6",m,speed,"1.297",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"1.297",m/s,
Data,13,record,timestamp,"908649559",s,position_lat,"609379768",semicircles,position_long,"-1361683787",semicircles,distance,"9.37",m,altitude,"1083.6",m,speed,"1.493",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"1.493",m/s,
Data,13,record,timestamp,"908649560",s,position_lat,"609379968",semicircles,position_long,"-1361683944",semicircles,distance,"11.44",m,altitude,"1083.6",m,speed,"1.549",m/s,unknown,"0",,unknown,"300",,heart_rate,"107",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"1.549",m/s,
Data,13,record,timestamp,"908649561",s,position_lat,"609380126",semicircles,position_long,"-1361684170",semicircles,distance,"13.41",m,altitude,"1083.6",m,speed,"1.689",m/s,unknown,"0",,unknown,"300",,heart_rate,"104",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"1.689",m/s,
Data,13,record,timestamp,"908649562",s,position_lat,"609380289",semicircles,position_long,"-1361684357",semicircles,distance,"15.28",m,altitude,"1083.4",m,speed,"2.034",m/s,unknown,"0",,unknown,"300",,heart_rate,"98",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.4",m,enhanced_speed,"2.034",m/s,
Data,13,record,timestamp,"908649563",s,position_lat,"609380496",semicircles,position_long,"-1361684493",semicircles,distance,"17.36",m,altitude,"1083.0",m,speed,"2.193",m/s,unknown,"0",,unknown,"300",,heart_rate,"98",bpm,cadence,"85",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.0",m,enhanced_speed,"2.193",m/s,
Data,13,record,timestamp,"908649564",s,position_lat,"609380775",semicircles,position_long,"-1361684701",semicircles,distance,"20.22",m,altitude,"1082.8",m,speed,"2.295",m/s,unknown,"0",,unknown,"300",,heart_rate,"103",bpm,cadence,"86",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.8",m,enhanced_speed,"2.295",m/s,
Data,13,record,timestamp,"908649565",s,position_lat,"609381028",semicircles,position_long,"-1361684927",semicircles,distance,"22.92",m,altitude,"1083.0",m,speed,"2.407",m/s,unknown,"0",,unknown,"300",,heart_rate,"107",bpm,cadence,"86",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.0",m,enhanced_speed,"2.407",m/s,
Data,13,record,timestamp,"908649566",s,position_lat,"609381287",semicircles,position_long,"-1361685156",semicircles,distance,"25.68",m,altitude,"1083.0",m,speed,"2.463",m/s,unknown,"0",,unknown,"300",,heart_rate,"114",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.0",m,enhanced_speed,"2.463",m/s,
Data,13,record,timestamp,"908649567",s,position_lat,"609381563",semicircles,position_long,"-1361685316",semicircles,distance,"28.38",m,altitude,"1083.4",m,speed,"2.547",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.4",m,enhanced_speed,"2.547",m/s,
Data,13,record,timestamp,"908649568",s,position_lat,"609381837",semicircles,position_long,"-1361685521",semicircles,distance,"31.21",m,altitude,"1083.4",m,speed,"2.613",m/s,unknown,"0",,unknown,"300",,heart_rate,"123",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.4",m,enhanced_speed,"2.613",m/s,
Data,13,record,timestamp,"908649569",s,position_lat,"609382245",semicircles,position_long,"-1361685823",semicircles,distance,"35.4",m,altitude,"1083.8",m,speed,"2.65",m/s,unknown,"0",,unknown,"300",,heart_rate,"127",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.8",m,enhanced_speed,"2.65",m/s,
Data,13,record,timestamp,"908649570",s,position_lat,"609382576",semicircles,position_long,"-1361686041",semicircles,distance,"38.73",m,altitude,"1083.8",m,speed,"2.706",m/s,unknown,"0",,unknown,"300",,heart_rate,"131",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.8",m,enhanced_speed,"2.706",m/s,
Data,13,record,timestamp,"908649571",s,position_lat,"609382802",semicircles,position_long,"-1361686309",semicircles,distance,"41.34",m,altitude,"1083.8",m,speed,"2.715",m/s,unknown,"0",,unknown,"300",,heart_rate,"133",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.8",m,enhanced_speed,"2.715",m/s,
Data,13,record,timestamp,"908649572",s,position_lat,"609383026",semicircles,position_long,"-1361686624",semicircles,distance,"44.11",m,altitude,"1083.6",m,speed,"2.715",m/s,unknown,"0",,unknown,"300",,heart_rate,"135",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.715",m/s,
