Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Data,13,record,timestamp,"909156013",s,position_lat,"609382000",semicircles,position_long,"-1361682160",semicircles,distance,"0.0",m,altitude,"1098.0",m,speed,"1.418",m/s,unknown,"300",,heart_rate,"118",bpm,cadence,"60",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"1.418",m/s,
Data,13,record,timestamp,"909156014",s,position_lat,"609382098",semicircles,position_long,"-1361682306",semicircles,distance,"1.22",m,altitude,"1098.0",m,speed,"0.849",m/s,unknown,"0",,unknown,"300",,heart_rate,"120",bpm,cadence,"60",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.849",m/s,
Data,13,record,timestamp,"909156015",s,position_lat,"609382181",semicircles,position_long,"-1361682468",semicircles,distance,"2.4",m,altitude,"1097.6",m,speed,"0.849",m/s,unknown,"0",,unknown,"300",,heart_rate,"122",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1097.6",m,enhanced_speed,"0.849",m/s,
Data,13,record,timestamp,"909156016",s,position_lat,"609382319",semicircles,position_long,"-1361682695",semicircles,distance,"4.23",m,altitude,"1098.0",m,speed,"0.877",m/s,unknown,"0",,unknown,"300",,heart_rate,"123",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.877",m/s,
Data,13,record,timestamp,"909156017",s,position_lat,"609382468",semicircles,position_long,"-1361682977",semicircles,distance,"6.38",m,altitude,"1097.6",m,speed,"1.232",m/s,unknown,"0",,unknown,"300",,heart_rate,"125",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1097.6",m,enhanced_speed,"1.232",m/s,
Data,13,record,timestamp,"909156018",s,position_lat,"609382597",semicircles,position_long,"-1361683294",semicircles,distance,"8.52",m,altitude,"1097.8",m,speed,"1.53",m/s,unknown,"0",,unknown,"300",,heart_rate,"127",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1097.8",m,enhanced_speed,"1.53",m/s,
Data,13,record,timestamp,"909156019",s,position_lat,"609382723",semicircles,position_long,"-1361683591",semicircles,distance,"10.56",m,altitude,"1097.4",m,speed,"1.624",m/s,unknown,"0",,unknown,"300",,heart_rate,"129",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1097.4",m,enhanced_speed,"1.624",m/s,
Data,13,record,timestamp,"909156020",s,position_lat,"609382909",semicircles,position_long,"-1361683892",semicircles,distance,"12.99",m,altitude,"1097.8",m,speed,"1.642",m/s,unknown,"0",,unknown,"300",,heart_rate,"131",bpm,cadence,"78",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1097.8",m,enhanced_speed,"1.642",m/s,
Data,13,record,timestamp,"909156021",s,position_lat,"609383106",semicircles,position_long,"-1361684208",semicircles,distance,"15.55",m,altitude,"1098.0",m,speed,"2.071",m/s,unknown,"0",,unknown,"300",,heart_rate,"134",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.071",m/s,
Data,13,record,timestamp,"909156022",s,position_lat,"609383317",semicircles,position_long,"-1361684532",semicircles,distance,"18.24",m,altitude,"1098.0",m,speed,"2.267",m/s,unknown,"0",,unknown,"300",,heart_rate,"141",bpm,cadence,"78",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.267",m/s,
