Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"909157228",s,distance,"0.0",m,altitude,"1099.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"108",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"909157229",s,distance,"0.0",m,altitude,"1099.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"909157230",s,distance,"0.9",m,altitude,"1099.0",m,speed,"0.896",m/s,unknown,"0",,unknown,"100",,heart_rate,"110",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"0.896",m/s,
Data,13,record,timestamp,"909157231",s,distance,"1.95",m,altitude,"1099.0",m,speed,"1.054",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"1.054",m/s,
Data,13,record,timestamp,"909157232",s,distance,"4.39",m,altitude,"1099.0",m,speed,"2.445",m/s,unknown,"0",,unknown,"100",,heart_rate,"108",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"2.445",m/s,
Data,13,record,timestamp,"909157233",s,distance,"6.62",m,altitude,"1099.0",m,speed,"2.221",m/s,unknown,"0",,unknown,"100",,heart_rate,"107",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"2.221",m/s,
Data,13,record,timestamp,"909157234",s,distance,"9.13",m,altitude,"1099.0",m,speed,"2.519",m/s,unknown,"0",,unknown,"100",,heart_rate,"107",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"2.519",m/s,
Data,13,record,timestamp,"909157235",s,distance,"11.69",m,altitude,"1099.0",m,speed,"2.557",m/s,unknown,"0",,unknown,"100",,heart_rate,"111",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"2.557",m/s,
Data,13,record,timestamp,"909157236",s,distance,"14.28",m,altitude,"1099.0",m,speed,"2.585",m/s,unknown,"0",,unknown,"100",,heart_rate,"110",bpm,cadence,"80",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"2.585",m/s,
Data,13,record,timestamp,"909157237",s,distance,"16.53",m,altitude,"1099.0",m,speed,"2.258",m/s,unknown,"0",,unknown,"100",,heart_rate,"112",bpm,cadence,"80",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"2.258",m/s,
