Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"908895004",s,distance,"416.12",m,altitude,"1098.0",m,speed,"2.958",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.958",m/s,
Data,13,record,timestamp,"908895005",s,distance,"418.96",m,altitude,"1098.0",m,speed,"2.837",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.837",m/s,
Data,13,record,timestamp,"908895006",s,distance,"421.76",m,altitude,"1098.0",m,speed,"2.799",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.799",m/s,
Data,13,record,timestamp,"908895007",s,distance,"424.68",m,altitude,"1098.0",m,speed,"2.921",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.921",m/s,
Data,13,record,timestamp,"908895008",s,distance,"427.55",m,altitude,"1098.0",m,speed,"2.874",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.874",m/s,
Data,13,record,timestamp,"908895009",s,distance,"430.5",m,altitude,"1098.0",m,speed,"2.948",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.948",m/s,
Data,13,record,timestamp,"908895010",s,distance,"433.51",m,altitude,"1098.0",m,speed,"3.004",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.004",m/s,
Data,13,record,timestamp,"908895011",s,distance,"436.56",m,altitude,"1098.0",m,speed,"3.051",m/s,unknown,"0",,unknown,"300",,heart_rate,"155",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.051",m/s,
Data,13,record,timestamp,"908895012",s,distance,"439.54",m,altitude,"1098.0",m,speed,"2.986",m/s,unknown,"0",,unknown,"300",,heart_rate,"156",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.986",m/s,
Data,13,record,timestamp,"908895013",s,distance,"442.49",m,altitude,"1098.0",m,speed,"2.948",m/s,unknown,"0",,unknown,"300",,heart_rate,"156",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.948",m/s,
Data,13,record,timestamp,"908895014",s,distance,"445.49",m,altitude,"1098.0",m,speed,"3.004",m/s,unknown,"0",,unknown,"300",,heart_rate,"157",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.004",m/s,
Data,13,record,timestamp,"908895015",s,distance,"448.55",m,altitude,"1098.0",m,speed,"3.06",m/s,unknown,"0",,unknown,"300",,heart_rate,"156",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.06",m/s,
Data,13,record,timestamp,"908895016",s,distance,"451.51",m,altitude,"1098.0",m,speed,"2.958",m/s,unknown,"0",,unknown,"300",,heart_rate,"157",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.958",m/s,
Data,13,record,timestamp,"908895017",s,distance,"454.41",m,altitude,"1098.0",m,speed,"2.902",m/s,unknown,"0",,unknown,"300",,heart_rate,"158",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.902",m/s,
Data,13,record,timestamp,"908895018",s,distance,"457.29",m,altitude,"1098.0",m,speed,"2.874",m/s,unknown,"0",,unknown,"300",,heart_rate,"159",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.874",m/s,
Data,13,record,timestamp,"908895019",s,distance,"460.19",m,altitude,"1098.0",m,speed,"2.902",m/s,unknown,"0",,unknown,"300",,heart_rate,"159",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.902",m/s,
Data,13,record,timestamp,"908895020",s,distance,"463.24",m,altitude,"1098.0",m,speed,"3.051",m/s,unknown,"0",,unknown,"300",,heart_rate,"160",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.051",m/s,
Data,13,record,timestamp,"908895021",s,distance,"466.29",m,altitude,"1098.0",m,speed,"3.051",m/s,unknown,"0",,unknown,"300",,heart_rate,"162",bpm,cadence,"86",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.051",m/s,
Data,13,record,timestamp,"908895022",s,distance,"469.37",m,altitude,"1098.0",m,speed,"3.079",m/s,unknown,"0",,unknown,"300",,heart_rate,"163",bpm,cadence,"86",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.079",m/s,
Data,13,record,timestamp,"908895023",s,distance,"472.48",m,altitude,"1098.0",m,speed,"3.107",m/s,unknown,"0",,unknown,"300",,heart_rate,"165",bpm,cadence,"85",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.107",m/s,
Data,13,record,timestamp,"908895024",s,distance,"475.61",m,altitude,"1098.0",m,speed,"3.135",m/s,unknown,"0",,unknown,"300",,heart_rate,"167",bpm,cadence,"85",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.135",m/s,
Data,13,record,timestamp,"908895025",s,distance,"478.77",m,altitude,"1098.0",m,speed,"3.154",m/s,unknown,"0",,unknown,"300",,heart_rate,"168",bpm,cadence,"85",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.154",m/s,
Data,13,record,timestamp,"908895026",s,distance,"481.87",m,altitude,"1098.0",m,speed,"3.107",m/s,unknown,"0",,unknown,"300",,heart_rate,"168",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.107",m/s,
Data,13,record,timestamp,"908895027",s,distance,"484.94",m,altitude,"1098.0",m,speed,"3.07",m/s,unknown,"0",,unknown,"300",,heart_rate,"168",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.07",m/s,
