Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Data,13,record,timestamp,"908826672",s,position_lat,"609379101",semicircles,position_long,"-1361682443",semicircles,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908826673",s,position_lat,"609379243",semicircles,position_long,"-1361682393",semicircles,distance,"1.36",m,altitude,"1113.8",m,speed,"0.812",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1113.8",m,enhanced_speed,"0.812",m/s,
Data,13,record,timestamp,"908826674",s,position_lat,"609379342",semicircles,position_long,"-1361682340",semicircles,distance,"2.33",m,altitude,"1113.6",m,speed,"1.353",m/s,unknown,"0",,unknown,"300",,heart_rate,"122",bpm,cadence,"60",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1113.6",m,enhanced_speed,"1.353",m/s,
Data,13,record,timestamp,"908826675",s,position_lat,"609379431",semicircles,position_long,"-1361682308",semicircles,distance,"3.05",m,altitude,"1113.4",m,speed,"1.353",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"60",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1113.4",m,enhanced_speed,"1.353",m/s,
Data,13,record,timestamp,"908826676",s,position_lat,"609379424",semicircles,position_long,"-1361682300",semicircles,distance,"3.09",m,altitude,"1113.2",m,speed,"1.577",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"60",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1113.2",m,enhanced_speed,"1.577",m/s,
Data,13,record,timestamp,"908826677",s,position_lat,"609379472",semicircles,position_long,"-1361682270",semicircles,distance,"3.57",m,altitude,"1113.2",m,speed,"1.661",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"60",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1113.2",m,enhanced_speed,"1.661",m/s,
Data,13,record,timestamp,"908826678",s,position_lat,"609379407",semicircles,position_long,"-1361682322",semicircles,distance,"3.57",m,altitude,"1113.0",m,speed,"1.661",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"60",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1113.0",m,enhanced_speed,"1.661",m/s,
Data,13,record,timestamp,"908826679",s,position_lat,"609379290",semicircles,position_long,"-1361682381",semicircles,distance,"3.57",m,altitude,"1113.2",m,speed,"1.605",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"52",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1113.2",m,enhanced_speed,"1.605",m/s,
Data,13,record,timestamp,"908826680",s,position_lat,"609379113",semicircles,position_long,"-1361682451",semicircles,distance,"5.04",m,altitude,"1114.4",m,speed,"1.484",m/s,unknown,"0",,unknown,"300",,heart_rate,"123",bpm,cadence,"50",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"1.484",m/s,
Data,13,record,timestamp,"908826681",s,position_lat,"609379248",semicircles,position_long,"-1361682516",semicircles,distance,"6.17",m,altitude,"1114.6",m,speed,"1.381",m/s,unknown,"0",,unknown,"300",,heart_rate,"123",bpm,cadence,"50",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1114.6",m,enhanced_speed,"1.381",m/s,
Data,13,record,timestamp,"908826682",s,position_lat,"609379467",semicircles,position_long,"-1361682722",semicircles,distance,"8.52",m,altitude,"1114.4",m,speed,"1.372",m/s,unknown,"0",,unknown,"300",,heart_rate,"124",bpm,cadence,"50",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"1.372",m/s,
Data,13,record,timestamp,"908826683",s,position_lat,"609379840",semicircles,position_long,"-1361682988",semicircles,distance,"12.21",m,altitude,"1114.2",m,speed,"1.493",m/s,unknown,"0",,unknown,"300",,heart_rate,"124",bpm,cadence,"50",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1114.2",m,enhanced_speed,"1.493",m/s,
Data,13,record,timestamp,"908826684",s,position_lat,"609380192",semicircles,position_long,"-1361683280",semicircles,distance,"15.87",m,altitude,"1114.4",m,speed,"1.652",m/s,unknown,"0",,unknown,"300",,heart_rate,"124",bpm,cadence,"50",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"1.652",m/s,
