Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"908825760",s,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"122",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908825761",s,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"122",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908825762",s,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"121",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908825763",s,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"122",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908825764",s,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"122",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908825765",s,distance,"0.0",m,altitude,"1114.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"122",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908825766",s,distance,"1.92",m,altitude,"1114.4",m,speed,"1.922",m/s,unknown,"0",,unknown,"100",,heart_rate,"122",bpm,cadence,"61",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"1.922",m/s,
Data,13,record,timestamp,"908825767",s,distance,"4.03",m,altitude,"1114.4",m,speed,"2.109",m/s,unknown,"0",,unknown,"100",,heart_rate,"123",bpm,cadence,"61",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"2.109",m/s,
Data,13,record,timestamp,"908825768",s,distance,"7.02",m,altitude,"1114.4",m,speed,"2.986",m/s,unknown,"0",,unknown,"100",,heart_rate,"123",bpm,cadence,"80",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"2.986",m/s,
Data,13,record,timestamp,"908825769",s,distance,"10.05",m,altitude,"1114.4",m,speed,"3.032",m/s,unknown,"0",,unknown,"100",,heart_rate,"124",bpm,cadence,"80",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1114.4",m,enhanced_speed,"3.032",m/s,
