Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Data,13,record,timestamp,"908738213",s,position_lat,"609378116",semicircles,position_long,"-1361683224",semicircles,distance,"0.0",m,altitude,"1093.8",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"72",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908738214",s,position_lat,"609378132",semicircles,position_long,"-1361683229",semicircles,distance,"0.16",m,altitude,"1094.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1094.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908738215",s,position_lat,"609378195",semicircles,position_long,"-1361683268",semicircles,distance,"0.78",m,altitude,"1094.2",m,speed,"0.019",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1094.2",m,enhanced_speed,"0.019",m/s,
Data,13,record,timestamp,"908738216",s,position_lat,"609378350",semicircles,position_long,"-1361683338",semicircles,distance,"2.26",m,altitude,"1093.6",m,speed,"0.019",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"57",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.6",m,enhanced_speed,"0.019",m/s,
Data,13,record,timestamp,"908738217",s,position_lat,"609378553",semicircles,position_long,"-1361683418",semicircles,distance,"4.18",m,altitude,"1093.6",m,speed,"0.056",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"57",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.6",m,enhanced_speed,"0.056",m/s,
Data,13,record,timestamp,"908738218",s,position_lat,"609378761",semicircles,position_long,"-1361683501",semicircles,distance,"6.18",m,altitude,"1093.8",m,speed,"1.288",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"57",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"1.288",m/s,
Data,13,record,timestamp,"908738219",s,position_lat,"609378972",semicircles,position_long,"-1361683634",semicircles,distance,"8.3",m,altitude,"1093.6",m,speed,"1.605",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"57",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.6",m,enhanced_speed,"1.605",m/s,
Data,13,record,timestamp,"908738220",s,position_lat,"609379177",semicircles,position_long,"-1361683801",semicircles,distance,"10.44",m,altitude,"1094.2",m,speed,"1.754",m/s,unknown,"0",,unknown,"100",,heart_rate,"109",bpm,cadence,"81",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1094.2",m,enhanced_speed,"1.754",m/s,
Data,13,record,timestamp,"908738221",s,position_lat,"609379381",semicircles,position_long,"-1361683982",semicircles,distance,"12.62",m,altitude,"1093.6",m,speed,"2.155",m/s,unknown,"0",,unknown,"100",,heart_rate,"110",bpm,cadence,"82",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.6",m,enhanced_speed,"2.155",m/s,
Data,13,record,timestamp,"908738222",s,position_lat,"609379614",semicircles,position_long,"-1361684181",semicircles,distance,"15.09",m,altitude,"1093.8",m,speed,"2.193",m/s,unknown,"0",,unknown,"100",,heart_rate,"110",bpm,cadence,"82",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"2.193",m/s,
Data,13,record,timestamp,"908738223",s,position_lat,"609379853",semicircles,position_long,"-1361684399",semicircles,distance,"17.65",m,altitude,"1093.8",m,speed,"2.351",m/s,unknown,"0",,unknown,"100",,heart_rate,"110",bpm,cadence,"86",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"2.351",m/s,
