record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm]
908738213,609378116,-1361683224,0.0,1093.8,0.0,100,109,72,0.0
908738214,609378132,-1361683229,0.16,1094.0,0.0,100,109,0,0.0
908738215,609378195,-1361683268,0.78,1094.2,0.019,100,109,0,0.0
908738216,609378350,-1361683338,2.26,1093.6,0.019,100,109,57,0.5
908738217,609378553,-1361683418,4.18,1093.6,0.055999999999999994,100,109,57,0.5
908738218,609378761,-1361683501,6.18,1093.8,1.288,100,109,57,0.5
908738219,609378972,-1361683634,8.3,1093.6,1.605,100,109,57,0.5
908738220,609379177,-1361683801,10.44,1094.2,1.754,100,109,81,0.5
908738221,609379381,-1361683982,12.62,1093.6,2.155,100,110,82,0.5
908738222,609379614,-1361684181,15.09,1093.8,2.193,100,110,82,0.5
908738223,609379853,-1361684399,17.65,1093.8,2.351,100,110,86,0.0
908738224,609380081,-1361684638,20.2,1093.8,2.445,100,110,87,0.0
908738225,609380310,-1361684888,22.79,1094.0,2.491,100,110,87,0.0
908738226,609380547,-1361685117,25.38,1093.8,2.501,100,110,87,0.0
908738227,609380787,-1361685350,28.0,1094.0,2.501,100,112,86,0.0
908738228,609381044,-1361685585,30.77,1093.4,2.51,100,112,86,0.0
908738229,609381301,-1361685850,33.62,1094.2,2.5380000000000003,100,113,86,0.5
908738230,609381534,-1361686112,36.29,1094.0,2.575,100,119,86,0.5
908738231,609381770,-1361686325,38.81,1094.0,2.575,100,119,87,0.5
908738232,609381999,-1361686559,41.35,1093.8,2.585,100,122,87,0.5
908738233,609382213,-1361686801,43.8,1093.8,2.585,100,128,87,0.5
908738234,609382438,-1361687058,46.38,1093.8,2.603,100,128,87,0.5
908738235,609382652,-1361687347,49.0,1093.8,2.613,100,132,87,0.5
908738236,609382853,-1361687668,51.66,1093.8,2.622,100,132,87,0.5
908738237,609383035,-1361687991,54.21,1093.8,2.641,100,134,86,0.5
908738238,609383238,-1361688332,56.95,1094.0,2.641,100,137,86,0.5
908738239,609383444,-1361688672,59.73,1094.0,2.659,100,138,86,0.5
908738240,609383757,-1361688874,62.67,1094.0,2.6689999999999996,100,138,86,0.5
908738241,609384037,-1361689179,65.79,1094.0,2.687,100,139,86,0.5
908738242,609384311,-1361689440,68.68,1094.0,2.7060000000000004,100,141,86,0.5
908738243,609384564,-1361689712,71.48,1094.0,2.715,100,141,87,0.5
908738244,609384793,-1361690028,74.3,1094.0,2.715,100,143,87,0.5
908738245,609385034,-1361690330,77.14,1094.0,2.725,100,143,87,0.5
908738246,609385327,-1361690743,80.76,1094.0,2.734,100,143,87,0.5
908738247,609385638,-1361691135,84.42,1094.0,2.753,100,145,87,0.5
908738248,609385875,-1361691482,87.42,1094.0,2.7710000000000004,100,145,87,0.5
908738249,609386102,-1361691786,90.19,1094.0,2.781,100,146,87,0.5
908738250,609386327,-1361692090,92.92,1094.0,2.781,100,146,87,0.5
908738251,609386526,-1361692475,95.84,1094.0,2.781,100,146,87,0.5
908738252,609386718,-1361692854,98.7,1094.0,2.781,100,147,86,0.5
908738253,609386894,-1361693224,101.43,1094.0,2.781,100,147,86,0.5
908738254,609387060,-1361693596,104.1,1094.0,2.781,100,147,86,0.5
908738255,609387180,-1361693959,106.51,1094.0,2.7710000000000004,100,147,86,0.5
908738256,609387324,-1361694333,109.08,1094.2,2.762,100,148,87,0.5
908738257,609387455,-1361694672,111.41,1094.2,2.753,100,148,87,0.5
