Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"908739387",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"61",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739388",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739389",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739390",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739391",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739392",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739393",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908739394",s,distance,"2.45",m,altitude,"1098.0",m,speed,"2.454",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.454",m/s,
Data,13,record,timestamp,"908739395",s,distance,"5.1",m,altitude,"1098.0",m,speed,"2.65",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.65",m/s,
Data,13,record,timestamp,"908739396",s,distance,"7.79",m,altitude,"1098.0",m,speed,"2.687",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.687",m/s,
Data,13,record,timestamp,"908739397",s,distance,"10.56",m,altitude,"1098.0",m,speed,"2.771",m/s,unknown,"0",,unknown,"100",,heart_rate,"114",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.771",m/s,
