Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Data,13,record,timestamp,"908721741",s,position_lat,"609380033",semicircles,position_long,"-1361684565",semicircles,distance,"0.0",m,altitude,"1083.6",m,speed,"2.221",m/s,unknown,"0",,unknown,"100",,heart_rate,"103",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1083.6",m,enhanced_speed,"2.221",m/s,
Data,13,record,timestamp,"908721742",s,position_lat,"609380121",semicircles,position_long,"-1361684631",semicircles,distance,"0.81",m,altitude,"1082.6",m,speed,"1.474",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.6",m,enhanced_speed,"1.474",m/s,
Data,13,record,timestamp,"908721743",s,position_lat,"609380314",semicircles,position_long,"-1361684761",semicircles,distance,"2.7",m,altitude,"1082.8",m,speed,"1.474",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"89",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.8",m,enhanced_speed,"1.474",m/s,
Data,13,record,timestamp,"908721744",s,position_lat,"609380509",semicircles,position_long,"-1361685003",semicircles,distance,"5.01",m,altitude,"1082.0",m,speed,"1.857",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"89",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.0",m,enhanced_speed,"1.857",m/s,
Data,13,record,timestamp,"908721745",s,position_lat,"609380691",semicircles,position_long,"-1361685248",semicircles,distance,"7.23",m,altitude,"1082.6",m,speed,"2.538",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"89",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.6",m,enhanced_speed,"2.538",m/s,
Data,13,record,timestamp,"908721746",s,position_lat,"609380980",semicircles,position_long,"-1361685542",semicircles,distance,"10.44",m,altitude,"1082.0",m,speed,"3.07",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"89",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.0",m,enhanced_speed,"3.07",m/s,
Data,13,record,timestamp,"908721747",s,position_lat,"609381334",semicircles,position_long,"-1361685827",semicircles,distance,"14.13",m,altitude,"1082.0",m,speed,"3.247",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"89",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.0",m,enhanced_speed,"3.247",m/s,
Data,13,record,timestamp,"908721748",s,position_lat,"609381692",semicircles,position_long,"-1361686118",semicircles,distance,"17.89",m,altitude,"1082.0",m,speed,"3.387",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"89",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1082.0",m,enhanced_speed,"3.387",m/s,
Data,13,record,timestamp,"908721749",s,position_lat,"609381981",semicircles,position_long,"-1361686670",semicircles,distance,"21.85",m,altitude,"1081.2",m,speed,"3.434",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"88",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1081.2",m,enhanced_speed,"3.434",m/s,
Data,13,record,timestamp,"908721750",s,position_lat,"609382341",semicircles,position_long,"-1361687078",semicircles,distance,"25.95",m,altitude,"1081.6",m,speed,"3.471",m/s,unknown,"0",,unknown,"100",,heart_rate,"101",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1081.6",m,enhanced_speed,"3.471",m/s,
