Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"908722539",s,distance,"2.53",m,altitude,"1093.8",m,speed,"2.529",m/s,unknown,"100",,heart_rate,"100",bpm,cadence,"58",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"2.529",m/s,
Data,13,record,timestamp,"908722540",s,distance,"4.06",m,altitude,"1093.8",m,speed,"1.53",m/s,unknown,"0",,unknown,"100",,heart_rate,"100",bpm,cadence,"58",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"1.53",m/s,
Data,13,record,timestamp,"908722541",s,distance,"5.76",m,altitude,"1093.8",m,speed,"1.698",m/s,unknown,"0",,unknown,"100",,heart_rate,"101",bpm,cadence,"58",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"1.698",m/s,
Data,13,record,timestamp,"908722542",s,distance,"8.0",m,altitude,"1093.8",m,speed,"2.239",m/s,unknown,"0",,unknown,"100",,heart_rate,"101",bpm,cadence,"58",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"2.239",m/s,
Data,13,record,timestamp,"908722543",s,distance,"11.57",m,altitude,"1093.8",m,speed,"3.574",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"3.574",m/s,
Data,13,record,timestamp,"908722544",s,distance,"15.22",m,altitude,"1093.8",m,speed,"3.648",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"84",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"3.648",m/s,
Data,13,record,timestamp,"908722545",s,distance,"18.66",m,altitude,"1093.8",m,speed,"3.443",m/s,unknown,"0",,unknown,"100",,heart_rate,"102",bpm,cadence,"86",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"3.443",m/s,
Data,13,record,timestamp,"908722546",s,distance,"22.27",m,altitude,"1093.8",m,speed,"3.611",m/s,unknown,"0",,unknown,"100",,heart_rate,"104",bpm,cadence,"88",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"3.611",m/s,
Data,13,record,timestamp,"908722547",s,distance,"26.29",m,altitude,"1093.8",m,speed,"4.022",m/s,unknown,"0",,unknown,"100",,heart_rate,"104",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"4.022",m/s,
Data,13,record,timestamp,"908722548",s,distance,"30.15",m,altitude,"1093.8",m,speed,"3.854",m/s,unknown,"0",,unknown,"100",,heart_rate,"104",bpm,cadence,"87",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1093.8",m,enhanced_speed,"3.854",m/s,
